CD1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90
64310.841,46573.056,41418.486,48483.279,34080.804,65068.866,50908.958999999995,30169.394999999997,73164.57299999999,32261.544,9999999.0,44359.623,10278.819,52697.897999999994,3820.446,31928.012999999995,51060.564,49665.797999999995,43874.487,65493.36,13735.413,27228.258,44177.697,34293.051,14129.586,58367.924999999996,44177.697,46027.278,43116.462,26106.380999999998,33716.952,63461.852999999996,41812.659,67949.361,31867.371,17192.006999999998,59793.011999999995,37112.904,27016.011,20163.465,12340.647,14826.969,70041.51000000001,11400.696,24741.935999999998,49969.008,62794.791,35960.706,47694.933,43935.129,11643.264,52758.53999999999,55851.28200000001,53607.528,46936.908,38780.558999999994,37082.583,24620.652,39932.757,34353.693,60278.147999999994,48604.563,31685.444999999996,21800.799,64159.236,67828.077,33110.532,23074.281,52697.897999999994,6822.224999999999,53789.45399999999,41661.054,10339.461,30806.136,21831.12,53577.207,66736.52100000001,63795.384,19769.291999999998,45057.005999999994,47209.797,17646.822,16433.982,52212.761999999995,18162.279,35414.928,65099.187,67251.978,57215.727,34565.94,636.741
42055.227,3153.384,72497.511,31200.308999999997,65159.82899999999,96147.891,81987.984,46785.303,66160.422,34869.15,47058.191999999995,9999999.0,54062.34299999999,25894.134,49241.304,46512.414,33807.915,28532.060999999998,39296.016,37082.583,53486.244,34778.187,44329.301999999996,47452.365,38416.707,72800.721,9217.583999999999,60460.074,26621.837999999996,30775.815,25318.035,94540.878,6185.4839999999995,39568.905,44814.437999999995,46027.278,51060.564,51576.021,15766.92,32443.469999999998,33868.557,54577.799999999996,41630.733,40630.14,17010.081000000002,36476.163,54032.022,67039.731,34687.223999999995,51485.058,36779.373,42176.511,70284.078,68040.32400000001,61369.70399999999,19132.551,37810.287000000004,32413.148999999998,58034.394,40872.708,51545.7,56154.492,19496.403,58428.566999999995,35748.458999999995,48119.426999999996,64189.557,48028.464,53334.638999999996,45633.105,55881.602999999996,49210.983,53031.429,56397.060000000005,49392.90899999999,9520.794,49089.699,94874.409,25166.43,49029.057,61642.59299999999,59095.62899999999,56184.813,66645.558,43207.424999999996,25378.676999999996,79531.983,38841.201,50999.922,60156.864,46391.13
71345.313,53607.528,31230.63,52152.119999999995,36415.521,67403.583,53213.355,30684.851999999995,76833.414,39296.016,10642.670999999998,51394.094999999994,9999999.0,56366.739,9460.152,35596.854,54729.405,53334.638999999996,47543.328,69162.201,10551.708,34262.73,47846.53799999999,34111.125,22376.897999999997,52425.009,51242.48999999999,40084.362,46785.303,33140.852999999996,37385.793,65796.56999999999,48847.130999999994,71648.523,32443.469999999998,20315.07,63461.852999999996,39205.053,41782.337999999996,28107.567,22194.972,7974.423,73710.351,19344.798,39508.263,53637.849,66463.632,38295.423,51363.774000000005,50969.600999999995,20345.391,56427.380999999994,49878.045,47634.291000000005,40993.992,48665.205,40781.744999999995,34869.15,42237.153,38022.534,63946.988999999994,55639.035,38719.916999999994,14402.475,67828.077,71496.91799999999,35445.248999999996,25408.998000000003,50999.922,13856.697,54062.34299999999,48695.526,4821.039,33959.52,24165.837,60611.679,70405.362,66130.101,26803.764,48725.847,41266.880999999994,10248.498,9975.609,46269.846,21285.341999999997,39083.769,59156.271,70920.819,60884.56799999999,37719.324,9581.436
87385.122,23013.639,78561.711,16221.734999999999,71224.029,102212.091,88052.184,52819.182,51606.342,54911.331,56336.41799999999,24044.553,63340.569,9999999.0,58519.53,35657.496,23043.96,10096.893,33262.137,12765.141,59398.839,50272.21799999999,35778.78,38022.534,39023.12699999999,62097.407999999996,18101.637,49756.761,18162.279,38174.138999999996,22831.713,100605.078,20011.859999999997,15221.141999999998,38962.485,42934.536,29259.765,40842.387,23104.602,32473.791,39932.757,60490.395,17313.291,45269.253,24408.405000000002,30472.605,27804.357,73103.931,23923.268999999997,67009.41,42055.227,22255.613999999998,59580.76499999999,57337.011,50666.391,11916.153,31867.371,39174.731999999996,64098.594,35778.78,28501.74,71648.523,26894.726999999995,64492.767,11431.017,23771.664,70253.757,54092.664,44389.944,54911.331,44511.227999999996,64705.013999999996,62309.655,45693.747,55457.109,30654.531,24772.256999999998,100938.609,32564.754,42995.178,50939.28,65008.224,62097.407999999996,55942.244999999995,40296.609,22892.355,68828.67,14523.759,35657.496,49453.55099999999,55669.356
66857.805,49120.02,42206.832,47422.044,34869.15,65857.212,51666.984,32746.68,72133.659,34808.508,4851.36,46906.587,10127.214,51636.663,9999999.0,30897.099,50029.65,48634.884,42813.25199999999,64432.125,14493.438,29775.222,43146.783,30897.099,17677.143,49210.983,46754.981999999996,36870.335999999996,42085.548,28653.344999999998,32686.037999999997,64250.199,44359.623,66918.447,30806.136,17101.043999999998,58762.098,36051.669,37294.83,24681.294,17707.464,15615.315,68980.275,15918.525,35020.755000000005,48907.772999999994,61733.556,36749.051999999996,46664.019,46482.093,15888.204,51727.626,46694.34,44450.585999999996,37779.966,43935.129,36051.669,28653.344999999998,40690.782,33322.779,59247.234,51151.527,34232.409,21649.194,63098.001,66797.163,33898.878,23862.627,51666.984,9369.188999999998,50848.316999999995,44208.018,10187.856,30745.494000000002,22619.466,56124.171,65675.286,64583.73,22316.256,44026.092,38052.855,17495.216999999997,17252.649,43055.82,18071.316,34384.013999999996,55942.244999999995,66190.74299999999,56184.813,34505.298,4335.902999999999
84019.491,34293.051,61703.235,29623.617,54365.553,85383.936,71193.708,49908.366,50059.971000000005,51970.194,22346.577,36263.916000000005,29744.901,33838.236,26167.023,9999999.0,32231.223,30836.457,23134.923,47876.859,34020.162000000004,46936.908,23468.454,9399.51,9429.831,34747.866,29350.728,22407.218999999997,24287.121,45815.030999999995,14857.29,83746.602,32261.544,49120.02,6761.583,17343.611999999997,39083.769,13523.166,31260.951,13887.018,29987.469,35111.718,51030.242999999995,15948.846,32807.322,27561.788999999997,42055.227,56245.455,28865.591999999997,63643.778999999995,19617.686999999998,32018.976,32200.902,29957.148,23316.849000000002,26136.701999999997,16039.809,26500.554,60217.505999999994,13644.449999999999,39568.905,68313.213,37173.545999999995,41388.165,45299.574,47118.833999999995,53395.280999999995,43359.03,27804.357,27167.616,36385.2,61369.70399999999,29805.542999999998,18313.884,42115.869,41933.943,45996.956999999995,84080.133,39477.941999999995,24347.763,23589.738,39629.547,36718.731,28592.702999999998,12431.609999999999,16585.587,41479.128,48392.316,34141.445999999996,22073.688,22983.318
85747.788,30017.79,76924.37700000001,6700.941,69586.69499999999,100574.757,86414.84999999999,51181.848,34141.445999999996,53273.996999999996,48422.637,31988.655000000002,55457.109,19829.934,50636.07,27774.036,9999999.0,16797.834,8398.917,18162.279,51485.058,48665.205,14554.08,30139.073999999997,31139.666999999998,39356.658,25075.466999999997,26985.69,9460.152,47513.007,19193.193,98967.74399999999,27986.283,35081.397,31079.024999999998,35020.755000000005,19011.267,19920.897,26348.948999999997,24590.331,38295.423,52606.935000000005,30927.42,37385.793,32352.506999999998,7519.608,21982.725,71466.597,3456.5939999999996,65372.075999999994,34171.767,9338.868,36809.694,34565.94,27106.974,19132.551,13796.054999999998,31291.272,62461.26,27895.319999999996,19496.403,70011.189,34838.829,62249.013,31260.951,27016.011,68616.423,52455.33,21497.589,46997.549999999996,27834.678,63098.001,54426.195,37779.966,53819.775,37658.682,25924.455,99301.275,37810.287000000004,17192.006999999998,28198.530000000002,57094.44299999999,54213.948,33201.494999999995,32382.827999999998,17980.353,46087.92,34353.693,18980.946,41539.77,47785.896
91144.92599999999,20102.823,82321.515,12886.425,74983.833,105971.895,91811.988,56609.307,52061.15700000001,58671.135,53001.108,21103.416,60035.58,6609.978,55214.541,32352.506999999998,19708.649999999998,9999999.0,29957.148,19405.44,56063.528999999995,54062.34299999999,34990.433999999994,34717.545,35718.138,58792.419,15160.5,46421.451,14857.29,35233.00199999999,23771.664,104364.882,17101.043999999998,21891.762,35627.174999999996,39599.226,32322.185999999998,37507.077,20163.465,29168.801999999996,43662.24,57185.405999999995,23953.59,41964.263999999996,21467.268,27137.295,34080.804,76863.735,20618.28,70769.21399999999,38750.238,25318.035,56245.455,54001.700999999994,47361.401999999995,10400.103000000001,28562.381999999998,35869.743,67858.398,32473.791,31564.161,75408.327,23953.59,66827.484,18071.316,30442.283999999996,74013.561,57852.46799999999,43995.771,51576.021,46542.735,68495.139,59004.666,42358.437,59216.913,27713.394,31412.555999999997,104698.413,43207.424999999996,39690.189,47634.291000000005,61672.914,58792.419,52637.255999999994,36961.299,22558.824,65523.681,21164.058,36930.977999999996,46118.241,52364.367
92509.371,36779.373,82169.91,13462.524000000001,74832.228,105850.61099999999,91660.383,57943.431,38719.916999999994,60035.58,48058.784999999996,38750.238,55062.936,26591.516999999996,50241.897,17707.464,9551.115,23559.416999999998,9999999.0,25196.751,51121.206,55426.788,8489.88,20072.502,27137.295,32807.322,31837.05,20436.354,16221.734999999999,54274.59,18829.341,104243.598,34747.866,30078.432,18131.958000000002,35839.422,16403.661,13371.561,33110.532,25408.998000000003,38719.916999999994,52212.761999999995,28350.135,33686.630999999994,37203.867,4881.6810000000005,19375.119,76742.451,10218.177,72133.659,35293.644,9338.868,30260.358,28016.604,20557.638,25863.813,12340.647,30897.099,69222.843,13765.734,16888.797,76772.772,41600.412000000004,61854.84,28865.591999999997,24408.405000000002,73892.277,59216.913,14948.252999999999,46633.698000000004,17495.216999999997,69829.263,54032.022,26379.269999999997,60581.358,44420.265,23316.849000000002,104577.129,44571.869999999995,10642.670999999998,21649.194,56730.591,53819.775,26652.158999999996,33201.494999999995,17586.18,39538.583999999995,37537.398,22771.071,30139.073999999997,47391.723
99361.917,31655.123999999996,90538.506,21133.736999999997,83200.82400000001,114219.207,100028.979,64826.297999999995,46330.488,66888.12599999999,61248.42,32686.037999999997,68252.571,13492.845,63431.53200000001,40569.498,18708.057,15008.895,26652.158999999996,9999999.0,64310.841,62279.333999999995,30472.605,42934.536,43935.129,53759.133,26743.122,44298.981,23074.281,61157.457,32018.976,112612.194,28653.344999999998,7549.929,43874.487,47846.53799999999,24014.232,37203.867,31746.087,37385.793,51909.552,65402.397,5821.632,50181.255,33049.89,28956.555,15766.92,85111.04699999999,20436.354,78986.205,46967.229,17555.859,54122.985,51879.231,44389.944,21952.404,36779.373,44086.734,76105.71,37628.361,20193.786,83655.639,35536.212,75044.47499999999,2910.816,9308.546999999999,82260.87299999999,66069.459,38810.88,59823.333,39265.695,76712.13,67221.657,50575.428,67433.904,39296.016,10278.819,112945.72499999999,51424.416,34474.977,45481.5,69920.226,67009.41,50484.465,45208.611,30775.815,63370.88999999999,20800.206000000002,30411.962999999996,54365.553,60581.358
67888.719,50120.613000000005,37021.941,55426.788,29684.259,60702.642,46512.414,23983.911,80108.08200000001,29229.444,14887.611,47937.501,13098.672,59641.40700000001,13735.413,38871.522,58004.073,56609.307,50817.99600000001,72436.869,9999999.0,30775.815,51121.206,41236.56,27925.641000000003,65311.433999999994,47755.575,52970.787,50059.971000000005,29653.938,40660.460999999996,59065.308,45360.216,74892.87,38810.88,27228.258,66736.52100000001,44056.41299999999,34384.013999999996,38113.497,16706.871,4881.6810000000005,76954.69799999999,23620.059,32079.618,56882.196,69738.3,31564.161,54638.441999999995,47482.686,22771.071,59702.049,62794.791,60551.037,53880.416999999994,44905.401,44026.092,30745.494000000002,35536.212,41297.202,67221.657,37870.929,35263.323000000004,13553.487,71072.424,74771.586,28713.987,18677.736,59641.40700000001,10218.177,60732.963,45208.611,7853.138999999999,48907.772999999994,17434.575,57124.763999999996,73680.03,59398.839,23316.849000000002,52000.51499999999,54153.306,9399.51,6488.694,59156.271,28198.530000000002,42358.437,72042.696,74195.487,64159.236,52667.577000000005,14250.87
44905.401,30715.173000000003,44268.659999999996,52819.182,36900.657,67919.04,53728.812,18404.847,91023.64199999999,7913.780999999999,28016.604,28532.060999999998,35020.755000000005,37658.682,30199.716,49362.588,55426.788,54032.022,53789.45399999999,48847.130999999994,34444.655999999995,9999999.0,61612.272,51727.626,38416.707,75802.5,28350.135,63431.53200000001,45633.105,1273.482,42813.25199999999,66312.027,25954.776,51333.452999999994,49271.625,43571.276999999995,68677.06499999999,54517.158,23923.268999999997,36385.2,17980.353,35536.212,53395.280999999995,34111.125,18131.958000000002,50999.922,71678.844,38810.88,48725.847,24529.689,33231.816,61642.59299999999,73255.536,71011.782,64341.162,31473.198,54517.158,33504.705,26925.048000000003,51788.268,69162.201,19981.539,15857.883000000002,30199.716,47513.007,59883.975,35960.706,19526.724000000002,70132.473,26591.516999999996,71193.708,22255.613999999998,33989.841,59368.518,20891.168999999998,37719.324,60854.246999999996,66645.558,12947.067,62491.581,64644.371999999996,40054.041000000005,37143.225,69647.337,43177.104,40448.214,82533.76199999999,50605.749,75074.796,63128.322,27349.541999999998
96511.74299999999,44177.697,86414.84999999999,20860.847999999998,79077.16799999999,110065.22999999998,95875.002,65341.755,27955.962,67433.904,39447.621,46148.562,46845.945,33959.52,43268.066999999995,17101.043999999998,16919.118,30957.741,7853.138999999999,32595.075,55335.825,59429.16,9999999.0,19466.082,26530.875,28835.270999999997,39235.373999999996,17101.043999999998,23620.059,58307.283,23043.96,108458.217,42115.869,37446.435,17525.538,34474.977,9551.115,13371.561,36627.768,29623.617,42934.536,56457.702000000005,35748.458999999995,33080.211,41448.807,9126.621,26773.443,80957.06999999999,13341.24,76136.031,39508.263,16737.192,29259.765,24044.553,16737.192,33262.137,12522.572999999999,35111.718,76621.167,13159.313999999998,24287.121,80805.465,45815.030999999995,66099.78,36263.916000000005,31806.729,78106.89600000001,66615.237,9035.658,50848.316999999995,11552.301,73861.95599999999,46906.587,25803.171,67979.682,51788.268,30715.173000000003,108791.748,51970.194,5518.422,20284.749,60945.21,58034.394,22680.108,29562.975,21831.12,38871.522,44935.722,12007.116,29562.975,40084.362
91084.284,38204.46,68768.02799999999,33565.347,61400.025,92418.408,78228.18,56942.838,47331.081,59004.666,29381.049,40205.646,31412.555999999997,37779.966,33201.494999999995,7307.361,29502.333,34747.866,20406.033,45147.969,41054.634,53971.38,20709.243,9999999.0,16464.303,26015.417999999998,33292.458,13674.770999999999,28198.530000000002,52849.503,18799.02,90811.39499999999,36172.953,49999.32899999999,7701.534,15827.561999999998,36354.879,10794.276,35202.681,20496.996,37052.262,42146.19,48301.352999999996,23013.639,38386.386,24832.898999999998,39326.337,63310.24799999999,22922.676,70678.25099999999,26682.48,29290.086,23468.454,21224.7,14584.400999999998,30048.111,13280.598,33686.630999999994,67251.978,10885.239,36840.015,75347.685,42722.289,48422.637,48816.810000000005,44359.623,60460.074,50393.502,24590.331,34202.087999999996,27652.751999999997,68404.17599999999,31473.198,9581.436,49180.662,45845.352,43268.066999999995,91144.92599999999,47422.044,21588.552,14857.29,46664.019,43753.203,19860.254999999997,13887.018,20496.996,32746.68,52334.046,31382.234999999997,13341.24,30017.79
76105.71,36294.237,53789.45399999999,31624.803,46421.451,77439.83399999999,63249.606,41964.263999999996,59338.197,44026.092,14402.475,38265.102,21800.799,35839.422,18222.921,18101.637,34232.409,32837.643,30048.111,48634.884,26076.059999999998,38992.806,30351.321,19041.588,9999999.0,38325.744,31351.913999999997,25954.776,26257.986,37870.929,16858.476,75832.821,34262.73,51121.206,16403.661,6670.62,45966.636,23165.244,25408.998000000003,14463.116999999998,22073.688,27167.616,53183.03399999999,8035.065,25378.676999999996,33110.532,48968.41499999999,48331.674,30836.457,55699.677,11703.905999999999,38932.164,35778.78,33535.026,26864.406,28137.888,20769.885,19071.909,52273.403999999995,20527.317,46451.772,60369.111,29744.901,33444.062999999995,47300.759999999995,54001.700999999994,45481.5,35414.928,38871.522,19223.514,39932.757,53425.602,21861.441,17798.427,34202.087999999996,43935.129,52910.145,76166.352,31533.84,31230.63,27137.295,31685.444999999996,28774.629,32170.581,6367.41,18556.452,45057.005999999994,50393.502,43389.351,21558.231,15039.216
